Date,BAJAJHLDNG,BAYERCROP,BHARTIARTL,BRITANNIA,CESC,CIPLA,CUMMINSIND,DLF,EIHOTEL,FEDERALBNK,HEROMOTOCO,HINDPETRO,ICICIBANK,IDFC,JINDALSTEL,JUSTDIAL,L&TFH,MARICO,MRPL,MUTHOOTFIN,NBCC,NHPC,NMDC,OIL,PFC,RECLTD,SRTRANSFIN,SUNDARMFIN,SUPREMEIND,UNIONBANK,WIPRO
2017-04-03,2135.490967,3772.257324,338.741638,3372.448242,847.179321,590.549927,947.225769,144.502243,118.231979,89.778252,3127.720703,331.120483,256.413361,54.270622,123.25,544.799988,122.937683,292.510803,98.409874,371.596588,85.266541,30.866499,123.488968,202.864395,138.772125,168.554413,1093.08252,1286.168701,1092.860718,155.25,252.724915
2017-04-05,2111.902832,3787.051758,341.417511,3356.738037,837.994446,590.948425,954.318481,147.40509,119.722298,90.274261,3123.716064,334.153625,254.759613,54.419994,124.5,555.200012,123.335861,294.77948,100.045494,386.679138,84.577713,31.584324,125.658684,204.154175,145.020172,172.913574,1096.498169,1301.213013,1104.165283,157.850006,254.494125
2017-04-06,2101.315186,3783.06665,338.741638,3338.094482,827.130676,588.208191,944.910828,153.899551,118.231979,88.19101,3131.774414,334.91983,251.181549,56.361782,132.75,533.75,122.639046,294.976715,98.091835,371.059692,85.143532,31.440758,126.58197,204.9216,145.583878,174.179153,1083.083252,1330.458496,1087.456421,154.899994,256.512543
2017-04-07,2096.045898,3768.222168,341.615723,3338.392822,832.019348,587.909241,952.446777,151.783936,120.864883,87.149384,3140.565186,342.102844,248.051102,57.108627,129,519.599976,120.249977,295.963135,97.319458,368.131042,87.1362,30.531513,124.827721,205.750732,143.141068,172.49173,1077.291748,1323.76001,1076.20166,151.800003,255.117096
2017-04-10,2106.830566,3766.179932,342.606781,3397.455811,831.130493,587.560547,964.662109,154.243958,121.311974,89.232628,3125.034668,346.189484,248.319672,58.40316,127.949997,523.950012,121.693375,295.815155,100.3181,366.325043,88.686058,30.483658,124.412254,207.562881,143.188034,171.319901,1078.578735,1299.794067,1066.731689,155.5,251.379288
2017-04-11,2100.625977,3790.040771,347.066498,3383.485352,830.389771,577.994507,966.336792,156.802399,124.044228,91.266289,3127.769531,343.826752,253.686295,58.751682,127.5,530.900024,124.530396,297.048157,102.816963,375.989563,89.251869,31.297195,125.150871,207.102249,153.898941,193.443848,1073.282104,1368.575562,1066.434204,159.050003,254.244934
2017-04-12,2087.329834,3810.215332,347.661102,3429.423096,824.957886,577.346863,971.5578,157.392807,123.646805,91.811905,3152.042236,346.34848,251.137268,57.755894,126.900002,522.299988,123.584724,299.514069,107.86013,373.35379,87.652817,30.866499,123.488968,204.89119,152.160767,193.818832,1056.154785,1356.369385,1066.235962,156.649994,249.560242
2017-04-13,2107.963379,3810.763184,337.205505,3384.479736,819.130981,575.204468,963.775452,157.097595,123.348747,91.861496,3149.55127,357.043488,252.925812,57.755894,122.150002,522.25,120.996559,296.505646,108.178169,380.33374,87.898827,31.105772,119.703506,205.628204,152.865433,193.912582,1040.363892,1329.19812,1075.309204,155.100006,246.893936
2017-04-17,2091.466309,3759.953125,338.246124,3366.084717,830.587341,574.457092,944.910828,169.840576,123.646805,91.811905,3164.837402,355.542725,252.567703,57.805683,121.099998,505.899994,122.589272,296.850891,107.723831,385.312439,89.079666,30.148674,118.226265,204.246292,147.556961,188.803436,1067.688354,1315.77124,1075.309204,153.899994,245.348984
2017-04-18,2086.73877,3740.774658,335.768494,3349.380127,849.154541,573.759583,924.371399,162.214478,128.16745,91.216682,3151.260742,353.276733,253.461975,57.755894,118.550003,495.899994,123.286087,295.815155,105.224968,386.971985,89.104271,29.813688,117.026001,204.460968,146.241577,182.850601,1049.868042,1313.588013,1069.409058,152.850006,246.196213
2017-04-19,2069.55249,3864.662109,336.908203,3411.773926,881.054626,573.361023,934.813477,166.544128,131.595169,90.919075,3125.376465,353.659821,250.912964,57.307785,112.550003,502.700012,125.077888,297.196075,110.586159,397.319885,89.547081,30.052963,116.518196,203.723923,146.335541,185.756699,1084.023804,1317.964355,1068.665283,150.25,248.314301
2017-04-20,2070.635742,4085.785645,339.683136,3360.168701,887.869202,572.015747,930.084961,169.348557,131.744217,91.811905,3124.057617,353.372528,243.937836,56.909473,111.050003,528.75,126.620827,298.379761,115.084129,406.642731,94.221245,30.005108,117.441475,199.271423,146.194611,187.912857,1064.223389,1314.074341,1065.343384,154.75,249.061859
2017-04-21,2082.01123,4267.208008,339.732697,3357.384521,900.856384,562.449829,954.712585,180.517105,131.247437,91.613495,3128.746338,355.702667,240.717865,57.158421,112,524.299988,125.874245,295.913818,112.676125,396.78299,94.467255,30.483658,119.241875,199.301819,147.087173,192.084534,1042.987427,1307.504761,1068.863647,157.050003,244.825699
2017-04-24,2097.769531,4306.211914,341.566132,3368.918457,902.041504,555.075989,956.682739,187.306793,128.16745,92.159111,3129.918457,355.31958,240.270248,57.407368,114.050003,527.950012,127.666054,297.393402,115.674767,385.75174,96.017105,30.435802,120.580643,198.780396,148.87233,193.021988,1043.036987,1296.310669,1070.995728,159.5,244.975204
2017-04-25,2137.707031,4577.897461,350.782959,3457.71167,917.1521,550.99054,954.318481,191.09523,129.856461,93.200729,3228.375488,357.299194,243.713531,57.755894,113.25,522.299988,128.014465,307.799683,116.765182,384.580292,94.762474,30.244383,120.765297,201.17569,151.268188,193.865692,1079.717163,1304.497803,1060.187012,163,246.345718
2017-04-26,2112.838379,4628.209473,354.350708,3533.230469,912.80658,554.7771,996.579407,184.551544,132.141632,93.696739,3236.042969,342.13446,247.648727,58.203999,112.949997,519.200012,126.86969,319.192352,114.266312,379.699219,95.648087,30.100819,119.426537,199.946716,148.167664,191.897049,1043.185425,1303.485718,1060.633179,161.550003,244.626343
2017-04-27,2090.186035,4548.656738,354.697601,3534.871338,917.9422,559.709534,1001.849731,186.765594,131.595169,93.597542,3224.077637,346.381042,245.189224,60.942425,113.75,505.799988,126.969246,313.66864,120.03643,390.876862,98.304985,29.909397,116.564354,198.41188,148.449524,191.100204,1030.117188,1296.677979,1071.987305,159.699997,247.21788
2017-04-28,2082.503662,4526.339844,352.319061,3603.976807,932.904602,555.474609,982.147644,183.026321,131.148087,106.741875,3241.464111,342.325989,249.080154,61.440323,114,502.450012,127.019012,310.906799,121.399445,384.921936,98.280388,30.387947,117.718452,200.929718,150.328629,189.881516,1028.285767,1298.216064,1079.176514,171.399994,246.320816
2017-05-02,2035.179688,4657.300781,344.489777,3553.663818,945.200439,553.382019,986.4328,186.322784,130.700989,111.602791,3275.015381,352.829437,246.48587,60.643688,113.449997,508.399994,133.439651,315.000244,117.446686,384.287415,96.533722,30.483658,117.856956,202.802658,153.711044,199.443558,998.585022,1296.717651,1145.664429,170.399994,246.644745
2017-05-03,2035.228882,4577.499023,343.250946,3560.176758,939.077209,554.07959,1038.889648,187.257584,133.880325,111.156387,3298.018311,338.527618,243.937836,60.344948,112.150002,505.5,133.539185,310.758789,119.900116,386.093414,98.5756,30.340094,118.595573,202.710541,151.174225,197.615524,1008.336731,1296.876343,1142.39209,178.5,247.417236
2017-05-04,2077.530029,4648.483887,342.904083,3571.710938,939.274719,548.001221,1044.849487,183.419922,131.694534,111.652397,3316.7229,339.325378,266.340881,62.286743,112.849998,505.700012,135.231461,306.566681,118.400803,390.730438,97.960579,30.627224,118.272438,203.355423,154.462662,198.506104,1009.47522,1292.658813,1164.455566,190.5,249.161545
2017-05-05,2024.93689,4592.393066,341.665253,3509.317139,930.682434,548.001221,1015.641174,182.681931,132.88678,115.471695,3298.067139,334.249451,267.011871,61.838634,108.099998,493.75,132.842377,300.944336,115.220428,382.383789,97.001137,30.148674,114.671623,197.889526,152.818451,199.490433,990.912354,1270.598267,1171.446411,186.600006,248.837585
2017-05-08,2039.07019,4669.206055,348.156647,3522.839844,967.32312,549.59552,1034.358154,193.899673,131.197754,117.604546,3322.193115,339.102264,270.947052,62.983795,111.099998,499.850006,135.330994,299.21817,122.944199,385.165985,98.108177,30.196527,114.902451,199.087173,154.791519,202.959015,988.882751,1244.121704,1174.024536,187.649994,250.332703
