Date,Date.1,BAYERCROP.NS.Open,BAYERCROP.NS.High,BAYERCROP.NS.Low,BAYERCROP.NS.Close,BAYERCROP.NS.Volume,BAYERCROP.NS.Adjusted,log_returns
2013-04-01,2013-04-01,1199.900024,1229.849976,1160.0,1168.25,5192.0,1145.201416,-0.031180317120989013
2013-04-02,2013-04-02,1168.25,1179.449951,1155.0,1166.449951,5406.0,1143.437134,-0.0015417745624226598
2013-04-03,2013-04-03,1160.0,1174.5,1151.0,1161.5,4903.0,1138.584839,-0.0042526341728335035
2013-04-04,2013-04-04,1150.0,1170.0,1131.5,1148.550049,6593.0,1125.890259,-0.011212057926797137
2013-04-05,2013-04-05,1150.0,1157.0,1121.099976,1144.099976,8093.0,1121.528076,-0.00388195505045541
2013-04-08,2013-04-08,1142.0,1149.849976,1122.0,1131.900024,493.0,1109.568848,-0.010720594351395718
2013-04-09,2013-04-09,1131.400024,1139.800049,1093.0,1099.349976,3855.0,1077.661011,-0.029178552647795893
2013-04-10,2013-04-10,1095.0,1140.0,1065.050049,1123.900024,12964.0,1101.726685,0.02208570073337679
2013-04-11,2013-04-11,1129.550049,1129.949951,1105.0,1119.5,3662.0,1097.41333,-0.003922770266360232
2013-04-12,2013-04-12,1101.050049,1119.0,1089.0,1110.5,2879.0,1088.59082,-0.00807185832874602
2013-04-15,2013-04-15,1099.949951,1109.949951,1092.099976,1100.0,38153.0,1078.298096,-0.009500072970916484
2013-04-16,2013-04-16,1097.550049,1114.300049,1097.550049,1108.5,1219.0,1086.6303710000002,0.007697544070479624
2013-04-17,2013-04-17,1100.0,1153.900024,1090.0,1113.849976,6113.0,1091.875,0.004814896673746461
2013-04-18,2013-04-18,1115.900024,1118.949951,1103.449951,1110.050049,830.0,1088.150024,-0.0034173732724624983
2013-04-22,2013-04-22,1122.900024,1125.0,1099.5,1110.050049,2685.0,1088.150024,0.0
2013-04-23,2013-04-23,1113.0,1118.0,1094.0,1111.349976,1928.0,1089.424194,0.0011702656422771796
2013-04-25,2013-04-25,1100.0,1120.0,1100.0,1105.449951,4768.0,1083.640625,-0.005322972978454743
2013-04-26,2013-04-26,1094.0,1116.650024,1094.0,1104.0,4083.0,1082.219238,-0.0013125384779879568
2013-04-29,2013-04-29,1104.0,1120.0,1095.550049,1106.400024,3731.0,1084.571899,0.0021715631787113665
2013-04-30,2013-04-30,1111.0,1160.050049,1107.0,1148.449951,9700.0,1125.792114,0.03730154322839852
2013-05-02,2013-05-02,1150.0,1178.050049,1140.050049,1155.849976,29841.0,1133.046387,0.006423033728685468
2013-05-03,2013-05-03,1155.050049,1167.0,1141.150024,1159.0,2593.0,1136.134155,0.002721484561178933
2013-05-06,2013-05-06,1175.0,1175.050049,1155.349976,1164.75,66624.0,1141.770752,0.004948941008886543
2013-05-07,2013-05-07,1165.0,1175.0,1161.099976,1172.25,3876.0,1149.122681,0.006418416617110623
2013-05-08,2013-05-08,1185.0,1212.0,1162.0,1180.75,126698.0,1157.454956,0.0072248261757117405
2013-05-09,2013-05-09,1171.150024,1195.0,1171.050049,1176.550049,4599.0,1153.3376460000004,-0.0035635516173488924
2013-05-10,2013-05-10,1175.050049,1190.0,1172.0,1183.900024,9025.0,1160.542969,0.006227932627782985
2013-05-13,2013-05-13,1220.0,1260.0,1196.699951,1255.150024,53932.0,1230.387085,0.05844085079900374
