Date,Date.1,BRITANNIA.NS.Open,BRITANNIA.NS.High,BRITANNIA.NS.Low,BRITANNIA.NS.Close,BRITANNIA.NS.Volume,BRITANNIA.NS.Adjusted,log_returns
2013-04-01,2013-04-01,537.900024,540.0,520.049988,527.450012,22951.0,500.019623,0.0047510121902316635
2013-04-02,2013-04-02,524.099976,533.900024,524.099976,528.0,94322.0,500.540985,0.0010421398624274048
2013-04-03,2013-04-03,528.0,536.0,518.549988,519.950012,24593.0,492.909637,-0.0153636183611221
2013-04-04,2013-04-04,519.049988,519.049988,504.0,513.0,25965.0,486.321045,-0.013456872924314744
2013-04-05,2013-04-05,515.0,520.0,510.0,516.650024,8601.0,489.78125,0.007089870625263117
2013-04-08,2013-04-08,531.0,531.0,512.400024,519.0,5869.0,492.009003,0.0045381522510341546
2013-04-09,2013-04-09,526.700012,526.700012,518.200012,520.25,57822.0,493.194031,0.002405653516280637
2013-04-10,2013-04-10,524.849976,529.5,519.200012,524.950012,33928.0,497.649658,0.00899366284019987
2013-04-11,2013-04-11,527.0,539.900024,525.0,536.0,110804.0,508.124908,0.020830967782392133
2013-04-12,2013-04-12,535.0,535.0,530.0,534.549988,8256.0,506.750275,-0.0027089712383832065
2013-04-15,2013-04-15,539.5,539.950012,525.0,526.349976,21801.0,498.976776,-0.015458774419580656
2013-04-16,2013-04-16,520.299988,534.900024,520.299988,531.849976,12049.0,504.190735,0.010395085354115707
2013-04-17,2013-04-17,535.0,548.599976,530.700012,540.75,20338.0,512.62793,0.01659566043459204
2013-04-18,2013-04-18,539.0,549.799988,538.200012,546.200012,20281.0,517.794495,0.010028136367969507
2013-04-22,2013-04-22,543.5,566.700012,543.5,564.599976,52201.0,535.23761,0.03313234339725657
2013-04-23,2013-04-23,565.0,572.75,551.549988,556.549988,40325.0,527.6062009999998,-0.01436060514398907
2013-04-25,2013-04-25,551.0,576.849976,551.0,563.650024,638606.0,534.336975,0.012676505268215621
2013-04-26,2013-04-26,565.0,570.950012,560.0,566.200012,45488.0,536.754456,0.004514059276473858
2013-04-29,2013-04-29,564.049988,566.0,560.5,562.700012,31182.0,533.4364009999998,-0.006200885776893372
2013-04-30,2013-04-30,565.0,583.900024,565.0,579.849976,63809.0,549.694458,0.030022740188933025
2013-05-02,2013-05-02,567.0,585.549988,561.549988,574.700012,43190.0,544.8123780000002,-0.008921118111439695
2013-05-03,2013-05-03,576.0,579.950012,563.349976,572.700012,68985.0,542.916321,-0.0034862717553494353
2013-05-06,2013-05-06,572.0,580.0,571.049988,577.200012,70737.0,547.1823730000001,0.007826949618523926
2013-05-07,2013-05-07,576.049988,582.650024,571.900024,576.599976,46326.0,546.613525,-0.0010401356456455346
2013-05-08,2013-05-08,576.5,585.049988,563.150024,570.299988,176698.0,540.641113,-0.010986335423981863
2013-05-09,2013-05-09,569.099976,580.0,563.950012,577.650024,128965.0,547.608887,0.012805640646809556
2013-05-10,2013-05-10,575.0,578.0,557.700012,571.099976,30920.0,541.399536,-0.011403802139351882
2013-05-13,2013-05-13,565.0,576.950012,556.150024,560.349976,47456.0,531.208618,-0.01900269846732261
2013-05-14,2013-05-14,557.0,572.0,557.0,564.75,122760.0,535.379761,0.007821507052920396
2013-05-15,2013-05-15,561.25,579.900024,561.25,570.549988,333106.0,540.878113,0.010217625289156372
2013-05-16,2013-05-16,575.0,584.25,568.400024,570.5,53455.0,540.83075,-8.757069790288341e-05
2013-05-17,2013-05-17,570.0,575.0,563.25,570.700012,136641.0,541.020386,0.000350576887396592
