Date,Date.1,FEDERALBNK.NS.Open,FEDERALBNK.NS.High,FEDERALBNK.NS.Low,FEDERALBNK.NS.Close,FEDERALBNK.NS.Volume,FEDERALBNK.NS.Adjusted,log_returns
2013-04-01,2013-04-01,48.400002,49.200001,48.0,48.450001,1633740.0,34.562733,0.007978073776120809
2013-04-02,2013-04-02,48.880001,49.139999,48.599998,48.82,1994550.0,34.826683,0.007607825178862716
2013-04-03,2013-04-03,48.82,49.900002,47.994999,48.080002,2423270.0,34.298790000000004,-0.015273769267464044
2013-04-04,2013-04-04,47.599998,48.16,47.215,47.459999,1333800.0,33.856495,-0.012979219706073408
2013-04-05,2013-04-05,47.459999,48.099998,46.200001,46.525002,3051750.0,33.189503,-0.019897205645754482
2013-04-08,2013-04-08,46.599998,46.805,44.064999,44.560001,5586900.0,31.787729,-0.043153316417943184
2013-04-09,2013-04-09,44.73,45.305,44.18,44.415001,3561610.0,31.68429,-0.003259360367063646
2013-04-10,2013-04-10,44.455002,45.0,43.360001,44.775002,3896660.0,31.941099,0.008072576015530686
2013-04-11,2013-04-11,44.900002,45.084999,44.044998,44.509998,5699010.0,31.752058,-0.0059360083247286255
2013-04-12,2013-04-12,44.244999,44.639999,44.0,44.07,4585470.0,31.438177000000003,-0.009934559716344271
2013-04-15,2013-04-15,44.099998,44.400002,40.59,41.895,21841760.0,29.8866,-0.05061276301176365
2013-04-16,2013-04-16,42.009998,44.169998,41.654999,43.880001,8067170.0,31.302637,0.04629212379104386
2013-04-17,2013-04-17,44.380001,45.849998,43.450001,43.645,7936920.0,31.134996,-0.005369883346993286
2013-04-18,2013-04-18,43.705002,45.505001,43.5,45.215,5765730.0,32.254982,0.03534005207940672
2013-04-22,2013-04-22,44.994999,46.595001,44.605,46.369999,7070540.0,33.078922,0.025223770027203333
2013-04-23,2013-04-23,46.400002,46.404999,44.314999,44.990002,6690400.0,32.094475,-0.03021238501639756
2013-04-25,2013-04-25,45.650002,45.650002,44.400002,45.349998,8629170.0,32.351288000000004,0.00796993774108623
2013-04-26,2013-04-26,45.400002,46.5,45.0,46.150002,3279110.0,32.921986,0.01748686737432204
2013-04-29,2013-04-29,45.099998,45.189999,43.5,44.855,6951880.0,31.998171000000006,-0.02846195714100208
2013-04-30,2013-04-30,45.0,45.950001,43.919998,45.645,9080620.0,32.561733000000004,0.01745901961742824
2013-05-02,2013-05-02,45.645,46.0,44.805,45.174999,5731420.0,32.226448,-0.01035028266051885
2013-05-03,2013-05-03,45.299999,45.299999,44.450001,44.735001,4123700.0,31.912573,-0.009787411803273471
2013-05-06,2013-05-06,44.465,45.025002,44.099998,44.805,2994620.0,31.962498,0.0015632079740930394
2013-05-07,2013-05-07,45.77,45.77,44.02,45.165001,3988960.0,32.219315,0.008002839391951788
2013-05-08,2013-05-08,44.705002,45.349998,44.705002,45.080002,5435170.0,32.15868,-0.001883718743640461
2013-05-09,2013-05-09,45.025002,45.665001,44.455002,44.73,9516220.0,31.908998,-0.00779435970994191
2013-05-10,2013-05-10,44.599998,46.0,44.209999,45.599998,3379460.0,32.529629,0.019263296580824815
2013-05-13,2013-05-13,45.5,45.695,44.455002,44.650002,1699900.0,31.851927000000003,-0.02105345302040229
2013-05-14,2013-05-14,44.5,46.005001,44.5,45.75,2554070.0,32.636635,0.024337547875805218
2013-05-15,2013-05-15,45.799999,47.900002,45.799999,47.77,6767160.0,34.077641,0.043206049663195856
2013-05-16,2013-05-16,47.799999,48.435001,47.099998,48.035,4587700.0,34.266684999999995,0.005532119290498905
2013-05-17,2013-05-17,47.720001,48.599998,47.224998,47.654999,4490680.0,33.995609,-0.007942230155128627
2013-05-20,2013-05-20,48.0,48.264999,46.715,46.895,2925980.0,33.453449,-0.01607647884019414
2013-05-21,2013-05-21,46.799999,47.575001,46.5,46.950001,3333620.0,33.49268,0.0011720171151563539
2013-05-22,2013-05-22,47.0,47.5,46.23,46.380001,1831020.0,33.08606,-0.012214861853078407
2013-05-23,2013-05-23,46.290001,46.290001,44.255001,44.939999,4088970.0,32.058807,-0.03154011062845718
2013-05-24,2013-05-24,44.904999,45.700001,44.5,45.09,1640040.0,32.165817,0.0033323698096241468
2013-05-27,2013-05-27,45.099998,45.799999,44.799999,45.639999,2067200.0,32.558167,0.012123938660671294
2013-05-28,2013-05-28,45.224998,46.419998,45.205002,45.419998,1033680.0,32.401226,-0.0048319818922997184
2013-05-29,2013-05-29,45.25,45.595001,44.814999,44.924999,4135870.0,32.048111,-0.010958019116428463
2013-05-30,2013-05-30,44.52,45.974998,44.52,45.09,6516200.0,32.165817,0.0036660623480568866
2013-05-31,2013-05-31,44.705002,45.549999,44.599998,45.035,2780480.0,32.126579,-0.0012206110617403176
2013-06-03,2013-06-03,45.009998,46.095001,44.529999,45.849998,2884920.0,32.707973,0.0179351770548215
2013-06-04,2013-06-04,45.900002,47.0,45.400002,45.755001,2581280.0,32.640205,-0.0020740600998321312
2013-06-05,2013-06-05,45.740002,46.0,45.110001,45.895,835410.0,32.740074,0.003055021459128504
2013-06-06,2013-06-06,45.610001,46.200001,45.205002,45.290001,2124920.0,32.308487,-0.01326988104015836
2013-06-07,2013-06-07,44.805,45.514999,44.619999,44.915001,3814220.0,32.040974,-0.00831442989368103
2013-06-10,2013-06-10,45.09,45.285,43.349998,44.224998,14517660.0,31.548746,-0.015481679475646716
2013-06-11,2013-06-11,43.674999,44.18,42.105,42.43,13602010.0,30.268251,-0.041434500378958905
2013-06-12,2013-06-12,42.400002,42.970001,41.830002,42.264999,13218210.0,30.150543,-0.003896408422855657
2013-06-13,2013-06-13,42.200001,42.740002,41.014999,42.18,8799550.0,30.089911,-0.0020130001169733625
