Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2013-04-01,2013-04-01,192.182007,192.727005,188.817993,191.190994,11418842.0,137.012146,0.006059376658858362
2013-04-02,2013-04-02,191.399994,191.645004,188.936005,190.345001,8498853.0,136.405884,-0.004434696523773596
2013-04-03,2013-04-03,190.735992,193.227005,186.417999,187.526993,14162924.0,134.386429,-0.014915434020484675
2013-04-04,2013-04-04,185.227005,186.0,182.291,183.417999,18866172.0,131.44181799999998,-0.022155143249054987
2013-04-05,2013-04-05,183.417999,183.417999,179.091003,181.481995,28818724.0,130.054428,-0.010611265281392336
2013-04-08,2013-04-08,180.854996,182.744995,179.509003,179.835999,12105429.0,128.874893,-0.00911092768303412
2013-04-09,2013-04-09,181.190994,185.408997,178.76400800000005,180.009003,20901188.0,128.99885600000002,0.0009614240303967848
2013-04-10,2013-04-10,181.373001,183.145004,178.490997,182.600006,22694012.0,130.855621,0.014291049533230016
2013-04-11,2013-04-11,186.345001,190.727005,186.227005,189.126999,30178715.0,135.533035,0.035120825704668235
2013-04-12,2013-04-12,187.473007,191.072998,186.600006,190.063995,11153571.0,136.204514,0.004942124260612246
2013-04-15,2013-04-15,188.636002,194.345001,187.544998,190.382004,20935976.0,136.432404,0.0016717475736314213
2013-04-16,2013-04-16,190.0,197.272995,189.891006,196.164001,31681606.0,140.575928,0.029918472437335808
2013-04-17,2013-04-17,196.563995,202.100006,196.563995,199.572998,26780105.0,143.01889,0.01722896382307315
2013-04-18,2013-04-18,196.727005,204.945007,196.727005,204.117996,20986466.0,146.275955,0.022518221013637433
2013-04-22,2013-04-22,204.582001,210.854996,202.990997,208.809006,19837164.0,149.63763400000005,0.022721657623056224
2013-04-23,2013-04-23,209.091003,211.800003,204.481995,211.145004,22457716.0,151.311676,0.01112519092530828
2013-04-25,2013-04-25,212.744995,216.0,211.272995,214.063995,34175350.0,153.40348799999995,0.013729837614831377
2013-04-26,2013-04-26,213.182007,216.145004,204.544998,208.091003,38868885.0,149.123108,-0.02829943361991649
2013-04-29,2013-04-29,209.108994,210.90899700000003,206.091003,209.673004,12108723.0,150.256805,0.007573670576304536
2013-04-30,2013-04-30,210.455002,213.091003,207.654999,211.572998,16337541.0,151.618393,0.009020928135337948
2013-05-02,2013-05-02,210.945007,215.81799300000003,210.90899700000003,213.035995,15253200.0,152.66679399999995,0.006890937800458019
