Date,Date.1,JINDALSTEL.NS.Open,JINDALSTEL.NS.High,JINDALSTEL.NS.Low,JINDALSTEL.NS.Close,JINDALSTEL.NS.Volume,JINDALSTEL.NS.Adjusted,log_returns
2013-04-01,2013-04-01,352.899994,352.899994,338.100006,342.450012,1826776.0,338.456421,-0.015358161803536776
2013-04-02,2013-04-02,341.549988,353.600006,340.75,351.0,1611068.0,346.906708,0.0246605482156852
2013-04-03,2013-04-03,352.0,360.5,341.100006,344.450012,2465086.0,340.4331049999999,-0.018837245571546646
2013-04-04,2013-04-04,344.0,344.0,326.5,329.700012,1743237.0,325.855133,-0.04376573990068078
2013-04-05,2013-04-05,327.950012,340.5,327.950012,335.549988,1631554.0,331.636871,0.017587702972825525
2013-04-08,2013-04-08,337.0,337.0,328.600006,330.600006,755540.0,326.744598,-0.014861788423614188
2013-04-09,2013-04-09,332.25,343.299988,331.149994,332.649994,2824186.0,328.770691,0.006181700064025186
2013-04-10,2013-04-10,337.0,337.75,322.200012,328.5,1997283.0,324.669098,-0.012554016261727695
2013-04-11,2013-04-11,333.75,335.899994,326.0,330.049988,1335955.0,326.200989,0.004707218411847514
2013-04-12,2013-04-12,328.0,333.399994,325.049988,327.850006,1430794.0,324.026672,-0.006687888672800568
2013-04-15,2013-04-15,325.0,332.75,325.0,329.649994,1097541.0,325.805695,0.005475342672482952
2013-04-16,2013-04-16,328.600006,340.799988,325.399994,337.700012,1886557.0,333.76181,0.02412641879190769
2013-04-17,2013-04-17,336.549988,344.299988,333.100006,336.399994,2226972.0,332.476959,-0.0038570334019762953
2013-04-18,2013-04-18,340.0,340.799988,330.299988,337.450012,1511498.0,333.51474,0.003116500825817603
2013-04-22,2013-04-22,337.049988,344.0,335.600006,341.549988,1503822.0,337.566925,0.012076724670739836
2013-04-23,2013-04-23,341.549988,347.700012,327.049988,329.899994,4719532.0,326.052765,-0.03470456285308199
2013-04-25,2013-04-25,331.200012,332.399994,324.649994,329.200012,4734175.0,325.360931,-0.00212410105702876
2013-04-26,2013-04-26,324.0,325.5,312.899994,314.950012,6405623.0,311.27713,-0.04425151440172481
2013-04-29,2013-04-29,316.0,316.0,295.0,301.299988,7631742.0,297.786285,-0.044307543848487015
2013-04-30,2013-04-30,302.0,309.200012,298.350006,304.549988,4488540.0,300.998383,0.01072882785097562
2013-05-02,2013-05-02,303.299988,312.25,302.5,305.850006,3823519.0,302.283234,0.0042595461438228455
2013-05-03,2013-05-03,306.0,321.0,304.25,318.450012,4210766.0,314.736298,0.04037070022895595
2013-05-06,2013-05-06,318.100006,327.549988,318.100006,326.600006,2095910.0,322.79129,0.025270814365757843
2013-05-07,2013-05-07,327.700012,338.100006,326.549988,333.049988,2802665.0,329.166046,0.01955636915581049
2013-05-08,2013-05-08,334.0,338.600006,326.0,329.549988,2235141.0,325.706848,-0.010564584991040071
2013-05-09,2013-05-09,329.0,330.149994,316.799988,317.850006,1707986.0,314.14328,-0.036148549979794
2013-05-10,2013-05-10,318.0,318.5,309.450012,311.399994,2971534.0,307.768494,-0.020501330073627425
2013-05-13,2013-05-13,311.100006,312.850006,303.350006,304.399994,1482205.0,300.850128,-0.022735630363844628
