Date,Date.1,L&TFH.NS.Open,L&TFH.NS.High,L&TFH.NS.Low,L&TFH.NS.Close,L&TFH.NS.Volume,L&TFH.NS.Adjusted,log_returns
2013-04-01,2013-04-01,73.849998,77.400002,73.800003,76.800003,1519784.0,71.614754,0.03984596190405832
2013-04-02,2013-04-02,76.0,77.900002,76.0,77.0,1327582.0,71.801239,0.002600617981332043
2013-04-03,2013-04-03,77.0,78.199997,74.800003,75.25,1134915.0,70.169395,-0.02298948486387076
2013-04-04,2013-04-04,74.25,74.900002,72.650002,72.949997,953300.0,68.024689,-0.03104153449855573
2013-04-05,2013-04-05,72.699997,76.349998,72.5,75.199997,1434493.0,70.12278,0.030376992777457982
2013-04-08,2013-04-08,75.0,75.300003,73.550003,73.75,686612.0,68.770691,-0.01947005432042737
2013-04-09,2013-04-09,73.75,74.699997,71.099998,71.550003,1015452.0,66.719215,-0.030284658873558364
2013-04-10,2013-04-10,71.800003,72.449997,70.699997,72.050003,1083553.0,67.185448,0.006963684066488618
2013-04-11,2013-04-11,72.400002,72.900002,71.699997,72.099998,632850.0,67.23207099999999,0.0006937042465375852
2013-04-12,2013-04-12,71.699997,72.449997,71.0,71.5,765982.0,66.6726,-0.008356306787110412
2013-04-15,2013-04-15,71.0,73.5,71.0,71.949997,998608.0,67.092201,0.00627373379460483
2013-04-16,2013-04-16,71.75,73.900002,71.699997,73.0,1234867.0,68.071304,0.014487936312509218
2013-04-17,2013-04-17,73.199997,74.400002,72.5,72.75,954775.0,67.838196,-0.003430344877833669
2013-04-18,2013-04-18,72.699997,73.900002,72.699997,73.550003,871303.0,68.584175,0.010936423839794427
2013-04-22,2013-04-22,73.650002,79.0,73.650002,78.199997,4233458.0,72.92021899999997,0.06130413010849356
2013-04-23,2013-04-23,78.800003,81.150002,78.199997,79.349998,3037933.0,73.992584,0.014598918868742315
2013-04-25,2013-04-25,79.949997,82.650002,78.5,79.25,6122244.0,73.89933,-0.001261110358734996
2013-04-26,2013-04-26,79.699997,79.800003,76.900002,77.400002,1350558.0,72.17424,-0.02362056607557772
2013-04-29,2013-04-29,77.900002,78.849998,76.25,78.0,1442700.0,72.733734,0.00772209789163547
2013-04-30,2013-04-30,78.599998,80.449997,76.650002,77.550003,1858212.0,72.314125,-0.0057858168117777
2013-05-02,2013-05-02,77.849998,79.800003,77.349998,78.75,1655653.0,73.43309,0.015355174859992715
2013-05-03,2013-05-03,79.0,79.0,76.699997,76.949997,1168951.0,71.754616,-0.02312246440638166
2013-05-06,2013-05-06,77.199997,78.349998,76.5,78.0,1005962.0,72.733734,0.013553106358166644
2013-05-07,2013-05-07,77.800003,80.5,77.800003,79.900002,2702499.0,74.505447,0.024066943383473042
2013-05-08,2013-05-08,80.150002,81.349998,79.25,79.599998,1956955.0,74.2257,-0.003761785416638297
2013-05-09,2013-05-09,79.699997,80.0,78.349998,78.699997,1130116.0,73.38646700000002,-0.01137090606550917
2013-05-10,2013-05-10,78.5,79.699997,78.25,78.5,834036.0,73.199974,-0.0025444795486748717
2013-05-13,2013-05-13,78.550003,79.0,77.099998,77.300003,784663.0,72.081001,-0.015404565224899969
2013-05-14,2013-05-14,77.5,79.75,76.550003,78.199997,1665640.0,72.92021899999997,0.011575452546184195
2013-05-15,2013-05-15,79.0,85.25,78.650002,82.550003,10624155.0,76.97654,0.05413474700882137
2013-05-16,2013-05-16,82.800003,86.099998,82.050003,83.699997,5310145.0,78.04888199999998,0.01383462260161217
2013-05-17,2013-05-17,84.150002,84.5,81.75,82.599998,2228385.0,77.02314799999998,-0.013229322655510243
2013-05-20,2013-05-20,83.25,84.449997,81.550003,82.050003,1779447.0,76.510292,-0.0066807323211000025
2013-05-21,2013-05-21,81.699997,84.150002,81.5,82.449997,2725920.0,76.883286,0.004863237953056654
2013-05-22,2013-05-22,82.650002,84.099998,79.400002,80.199997,2606998.0,74.785187,-0.02766867507450943
2013-05-23,2013-05-23,79.650002,80.099998,77.0,77.849998,1935041.0,72.593857,-0.029739526683913556
2013-05-24,2013-05-24,78.050003,79.800003,77.5,78.650002,1161161.0,73.339851,0.010223827081940584
2013-05-27,2013-05-27,78.5,79.800003,78.150002,79.550003,1044615.0,74.179092,0.011378200482810463
2013-05-28,2013-05-28,79.5,81.150002,78.650002,79.800003,1669147.0,74.41220899999998,0.0031376963481291047
2013-05-29,2013-05-29,79.699997,79.699997,78.199997,78.599998,871766.0,73.293228,-0.015151810662785259
2013-05-30,2013-05-30,78.0,78.800003,77.75,78.300003,619009.0,73.013481,-0.003824121844147932
2013-05-31,2013-05-31,78.0,78.25,76.400002,76.800003,1078379.0,71.614754,-0.01934298114026589
2013-06-03,2013-06-03,77.0,78.900002,77.0,78.25,787001.0,72.96685,0.018704114228996538
2013-06-04,2013-06-04,79.900002,81.699997,78.800003,79.349998,2282179.0,73.992584,0.013959643545607749
2013-06-05,2013-06-05,79.449997,79.5,77.0,78.5,971206.0,73.199974,-0.010769806190026543
2013-06-06,2013-06-06,77.949997,79.800003,77.800003,78.800003,840177.0,73.479713,0.003814288738636762
2013-06-07,2013-06-07,78.5,81.400002,78.5,79.599998,1539229.0,74.2257,0.010101096875547277
2013-06-10,2013-06-10,80.5,80.699997,78.150002,78.5,712821.0,73.199974,-0.013915385614184041
2013-06-11,2013-06-11,78.050003,78.300003,76.599998,77.050003,788146.0,71.84787800000002,-0.018643987437911846
2013-06-12,2013-06-12,77.050003,78.349998,76.949997,77.75,836898.0,72.50061,0.009043897280302636
2013-06-13,2013-06-13,77.0,77.25,75.849998,76.099998,867379.0,70.962013,-0.0214502699246788
2013-06-14,2013-06-14,76.5,77.800003,76.5,77.0,665417.0,71.801239,0.01175702647904231
2013-06-17,2013-06-17,77.099998,77.400002,76.0,76.949997,707785.0,71.754616,-0.0006495451075716474
2013-06-18,2013-06-18,76.599998,79.099998,76.199997,77.849998,1335692.0,72.593857,0.011628116860558537
2013-06-19,2013-06-19,78.25,81.449997,78.25,80.349998,3219272.0,74.92505600000001,0.03160805669084077
2013-06-20,2013-06-20,79.400002,79.800003,78.099998,78.650002,1537699.0,73.339851,-0.021384229608900185
2013-06-21,2013-06-21,78.25,79.349998,75.599998,76.800003,1366130.0,71.614754,-0.023803016816259515
2013-06-24,2013-06-24,76.300003,77.0,73.599998,75.0,1457906.0,69.936272,-0.023716686807783386
2013-06-25,2013-06-25,75.150002,76.699997,74.25,75.199997,1039127.0,70.12278,0.0026632782041469127
2013-06-26,2013-06-26,76.099998,78.800003,75.5,76.900002,2016146.0,71.70800799999998,0.02235472336841671
2013-06-27,2013-06-27,77.949997,78.25,76.0,76.449997,1003408.0,71.288383,-0.00586904608693839
2013-06-28,2013-06-28,78.0,79.400002,77.599998,78.699997,1538050.0,73.38646700000002,0.02900616245541077
2013-07-01,2013-07-01,80.0,81.300003,79.5,80.099998,2269959.0,74.69194,0.01763264273300891
2013-07-02,2013-07-02,80.25,80.599998,78.400002,78.5,928832.0,73.199974,-0.020177122281683783
2013-07-03,2013-07-03,77.800003,77.800003,76.0,76.5,853855.0,71.33500699999998,-0.02580787708062537
2013-07-04,2013-07-04,77.0,77.300003,75.349998,76.199997,1031952.0,71.055252,-0.003929417109336697
2013-07-05,2013-07-05,76.699997,77.150002,75.25,75.599998,836173.0,70.495773,-0.007905021012089009
2013-07-08,2013-07-08,75.599998,76.300003,74.099998,75.199997,852374.0,70.12278,-0.005305044986163132
2013-07-09,2013-07-09,75.650002,76.650002,75.300003,75.650002,652772.0,70.542397,0.0059661993630006896
2013-07-10,2013-07-10,76.0,76.699997,74.849998,75.099998,789483.0,70.029526,-0.007296951833986931
2013-07-11,2013-07-11,75.900002,76.449997,75.300003,75.75,653229.0,70.635643,0.008617922341287887
2013-07-12,2013-07-12,76.0,76.599998,75.199997,76.099998,597606.0,70.962013,0.004609830235624557
2013-07-15,2013-07-15,76.199997,77.25,75.400002,76.75,840328.0,71.568123,0.008505059640561363
2013-07-16,2013-07-16,75.400002,75.900002,74.5,74.699997,767484.0,69.656532,-0.02707328630405126
2013-07-17,2013-07-17,75.150002,75.5,73.150002,73.949997,764907.0,68.957169,-0.010090906301642557
2013-07-18,2013-07-18,74.050003,74.800003,72.5,74.599998,529973.0,69.563286,0.008751355434776897
