Date,Date.1,NBCC.NS.Open,NBCC.NS.High,NBCC.NS.Low,NBCC.NS.Close,NBCC.NS.Volume,NBCC.NS.Adjusted,log_returns
2013-04-01,2013-04-01,8.17333,8.52333,8.16,8.34333,1628670.0,3.057137,0.027132302331729585
2013-04-02,2013-04-02,8.38667,9.33333,8.35,9.24,1402410.0,3.385692,0.10207945970282116
2013-04-03,2013-04-03,9.13,9.74667,8.84667,8.94667,1907775.0,3.278211,-0.03226047001816523
2013-04-04,2013-04-04,8.91333,9.03,8.64,8.73,443235.0,3.19882,-0.02451585496678144
2013-04-05,2013-04-05,8.65667,9.1,8.546669999999999,8.64333,420585.0,3.167062,-0.009977647549159752
2013-04-08,2013-04-08,8.59667,8.77667,8.58333,8.68333,216720.0,3.181719,0.004617272525111016
2013-04-09,2013-04-09,8.76333,8.92667,8.21,8.34333,616125.0,3.057137,-0.03994275969382577
2013-04-10,2013-04-10,8.33667,8.73333,8.33333,8.61667,521355.0,3.157294,0.03223647454286449
2013-04-11,2013-04-11,8.68667,8.85333,8.66667,8.72,272700.0,3.1951560000000003,0.011920581302942379
2013-04-12,2013-04-12,8.73667,8.73667,8.57333,8.66667,420630.0,3.175614,-0.00613491345381556
2013-04-15,2013-04-15,8.26667,8.84667,8.26667,8.75667,2720145.0,3.208593,0.010331523820809707
2013-04-16,2013-04-16,8.78,9.33333,8.626669999999999,9.22333,3076020.0,3.3795839999999995,0.05192010170165662
2013-04-17,2013-04-17,9.16667,9.4,9.05333,9.28333,676440.0,3.4015690000000003,0.0064841707682810066
2013-04-18,2013-04-18,9.25667,9.29333,9.00667,9.17,153495.0,3.360043,-0.012283024253273656
2013-04-22,2013-04-22,9.07667,9.4,9.07333,9.32,517230.0,3.4150050000000003,0.01622518563825337
2013-04-23,2013-04-23,9.29,9.5,9.08333,9.19,464910.0,3.367371,-0.014046635931554308
2013-04-25,2013-04-25,9.25333,9.33333,9.09667,9.22,637305.0,3.378364,0.003259247430049017
2013-04-26,2013-04-26,9.22,9.56667,8.98,9.08,455820.0,3.3270660000000003,-0.015300734117830396
2013-04-29,2013-04-29,9.12667,9.56333,8.546669999999999,9.51333,2009490.0,3.485845,0.04661964800954599
2013-04-30,2013-04-30,9.69333,9.76667,9.36,9.49667,7196475.0,3.47974,-0.0017529041891590769
2013-05-02,2013-05-02,9.45333,9.48667,9.30667,9.34333,530505.0,3.423554,-0.016278385565607234
2013-05-03,2013-05-03,9.29667,9.66667,9.29667,9.55333,896760.0,3.500502,0.022227193995933314
2013-05-06,2013-05-06,9.54,9.65667,9.4,9.51,553980.0,3.484625,-0.004545952376359352
2013-05-07,2013-05-07,9.51333,9.61333,9.37,9.55,456660.0,3.499281,0.004197084415057173
2013-05-08,2013-05-08,9.60667,9.99333,9.37,9.91333,1553835.0,3.632412,0.03733937160840428
2013-05-09,2013-05-09,9.73333,9.92,9.51,9.62,379140.0,3.524931,-0.03003602882444012
2013-05-10,2013-05-10,9.64667,9.73333,9.41333,9.53667,299085.0,3.494397,-0.008700032993022244
2013-05-13,2013-05-13,9.41,9.69667,9.33333,9.43,605220.0,3.455312,-0.011248071561680506
2013-05-14,2013-05-14,9.46333,9.52667,9.12,9.25,541725.0,3.389356,-0.019272824205659008
2013-05-15,2013-05-15,9.31667,9.56667,9.31667,9.48667,433650.0,3.4760760000000004,0.02526413853166232
2013-05-16,2013-05-16,9.50667,9.72667,9.4,9.44,442515.0,3.4589760000000003,-0.004931479866413291
2013-05-17,2013-05-17,9.49667,9.56667,9.38,9.43,192900.0,3.455312,-0.0010598344595900144
2013-05-20,2013-05-20,9.45,9.86667,9.33667,9.57333,1246890.0,3.50783,0.015084855624473812
2013-05-21,2013-05-21,9.59,9.73667,9.26667,9.28,492135.0,3.400349,-0.031119539261245114
2013-05-22,2013-05-22,9.37667,9.45333,9.04,9.08333,373800.0,3.328286,-0.0214206166465436
2013-05-23,2013-05-23,9.0,9.08333,8.67333,8.75333,385110.0,3.207369,-0.03700648187002531
2013-05-24,2013-05-24,8.83,8.98667,8.4,8.463330000000001,720255.0,3.101108,-0.0336915079096638
2013-05-27,2013-05-27,8.55667,9.16,8.22667,9.03333,709335.0,3.309965,0.06517814832808178
2013-05-28,2013-05-28,9.23667,9.44333,8.88667,9.07333,1594365.0,3.324621,0.004418067333692655
2013-05-29,2013-05-29,9.02,9.09333,8.93333,9.05,215340.0,3.3160730000000003,-0.002574431142627009
2013-05-30,2013-05-30,9.06667,9.06667,8.9,8.98333,109545.0,3.291644,-0.007394115486587527
2013-05-31,2013-05-31,8.98,9.18667,8.86667,8.98667,827040.0,3.292868,0.00037178154253436624
2013-06-03,2013-06-03,9.0,9.06,8.74667,9.0,241395.0,3.297752,0.0014821066588674991
2013-06-04,2013-06-04,9.03333,9.26667,8.876669999999997,8.91,192675.0,3.264775,-0.010050176577581338
2013-06-05,2013-06-05,8.93333,9.06333,8.88333,8.98333,101340.0,3.291644,0.008196288376179472
2013-06-06,2013-06-06,8.98667,9.12,8.9,9.01333,95100.0,3.3026370000000003,0.0033341042589511987
2013-06-07,2013-06-07,9.12,9.92333,8.96667,9.53333,1949160.0,3.4931730000000005,0.056089251946555896
2013-06-10,2013-06-10,9.47,10.4267,9.46667,9.86,4210185.0,3.612871,0.033692254902386136
2013-06-11,2013-06-11,9.73333,9.98667,9.40667,9.73,801675.0,3.565236,-0.013272496293633695
2013-06-12,2013-06-12,9.8,9.96667,9.4,9.53333,1041945.0,3.4931730000000005,-0.020419758608752447
2013-06-13,2013-06-13,9.53,9.68333,9.14,9.19667,807375.0,3.369815,-0.03595264550993593
2013-06-14,2013-06-14,9.40333,9.52,9.09,9.18,577635.0,3.363707,-0.001814207089631648
2013-06-17,2013-06-17,9.16667,9.37333,9.04,9.30667,378990.0,3.410121,0.013704134911498356
2013-06-18,2013-06-18,9.33333,9.45,9.21667,9.24667,440730.0,3.3881360000000003,-0.006467856876197553
2013-06-19,2013-06-19,9.20333,9.44667,9.14667,9.19,454935.0,3.367371,-0.006147596441687053
2013-06-20,2013-06-20,9.1,9.1,8.84,8.91,355200.0,3.264775,-0.030941473575732736
2013-06-21,2013-06-21,8.83333,9.16667,8.83333,9.09,1195350.0,3.3307300000000004,0.02000065154331176
2013-06-24,2013-06-24,9.03333,9.06667,8.83333,9.01,3221010.0,3.301416,-0.008840031838202256
2013-06-25,2013-06-25,8.93667,9.09333,8.87,9.05667,733260.0,3.318517,0.005166529038817869
2013-06-26,2013-06-26,9.11333,9.12333,8.73667,8.85333,219060.0,3.24401,-0.02270777752469355
2013-06-27,2013-06-27,8.8,9.0,8.8,8.94,231435.0,3.275767,0.009741821277844398
2013-06-28,2013-06-28,9.03333,9.10667,8.98333,9.05,220635.0,3.3160730000000003,0.012229211365688776
2013-07-01,2013-07-01,8.953330000000003,9.51333,8.953330000000003,9.06667,2163075.0,3.322181,0.0018402434506801235
2013-07-02,2013-07-02,9.11667,9.24667,8.95,8.97,1326210.0,3.28676,-0.01071921784753127
2013-07-03,2013-07-03,8.93333,9.05667,8.8,8.92333,353775.0,3.26966,-0.0052162731409906024
2013-07-04,2013-07-04,8.97333,9.1,8.76,8.88,1297080.0,3.253782,-0.004867991883893419
2013-07-05,2013-07-05,8.94,9.1,8.88667,8.90667,237225.0,3.263555,0.0029990799387091807
2013-07-08,2013-07-08,8.80667,9.11333,8.73667,9.0,5483130.0,3.297752,0.010423932197840323
2013-07-09,2013-07-09,9.09333,9.22333,8.96667,9.06667,380955.0,3.322181,0.007380470735865784
2013-07-10,2013-07-10,9.0,9.1,8.78,8.85,266595.0,3.2427900000000003,-0.02418742458480461
2013-07-11,2013-07-11,8.81333,9.06,8.8,8.86667,448095.0,3.248898,0.0018817915471105449
2013-07-12,2013-07-12,8.90667,8.95,8.83333,8.85333,203460.0,3.24401,-0.0015056430565192347
2013-07-15,2013-07-15,8.703330000000001,9.12,8.703330000000001,9.05667,267630.0,3.318517,0.02270777752469355
2013-07-16,2013-07-16,8.94,8.96667,8.81667,8.89,183000.0,3.257447,-0.01857423664847979
2013-07-17,2013-07-17,8.953330000000003,8.98,8.83333,8.85333,121875.0,3.24401,-0.004133540876213759
2013-07-18,2013-07-18,8.90667,9.13667,8.83333,8.88,331680.0,3.253782,0.0030077932217980052
2013-07-19,2013-07-19,8.80667,9.0,8.80667,8.83,131940.0,3.235461,-0.005646590420129494
