Date,Date.1,RECLTD.NS.Open,RECLTD.NS.High,RECLTD.NS.Low,RECLTD.NS.Close,RECLTD.NS.Volume,RECLTD.NS.Adjusted,log_returns
2013-04-01,2013-04-01,106.0,106.849998,104.125,106.0,1833532.0,64.852287,0.016887213050089226
2013-04-02,2013-04-02,106.25,107.449997,103.875,106.724998,4980250.0,65.295845,0.006816228716112428
2013-04-03,2013-04-03,106.724998,108.900002,101.724998,102.900002,5840100.0,62.95565799999999,-0.03649776754605583
2013-04-04,2013-04-04,102.0,104.849998,99.650002,104.199997,5951804.0,63.75101899999999,0.012554530915376285
2013-04-05,2013-04-05,103.0,106.199997,102.974998,105.625,2714618.0,64.622856,0.013582988038269406
2013-04-08,2013-04-08,105.300003,107.0,105.0,105.974998,2168146.0,64.83699,0.00330811756540772
2013-04-09,2013-04-09,106.824997,108.300003,106.25,107.474998,4448496.0,65.7547,0.014054877564637636
2013-04-10,2013-04-10,107.824997,109.25,104.875,107.974998,4167224.0,66.06061600000001,0.004641593382531006
2013-04-11,2013-04-11,108.5,109.0,105.75,106.5,1961140.0,65.15818,-0.01375489267776242
2013-04-12,2013-04-12,105.5,110.25,105.400002,109.099998,3073618.0,66.748909,0.024120100479899875
2013-04-15,2013-04-15,109.0,112.0,107.349998,110.074997,4723400.0,67.345428,0.008897063787558501
2013-04-16,2013-04-16,110.0,113.275002,109.75,112.775002,2054318.0,68.997322,0.0242326758848117
2013-04-17,2013-04-17,113.0,114.25,108.849998,109.375,2970318.0,66.91716,-0.030612255764607355
2013-04-18,2013-04-18,109.0,109.675003,106.175003,109.175003,6220754.0,66.7948,-0.0018302032840624702
2013-04-22,2013-04-22,109.0,111.849998,106.324997,108.125,4877944.0,66.15239,-0.009664213285346612
2013-04-23,2013-04-23,107.949997,110.599998,107.175003,109.849998,2143110.0,67.207764,0.015827756653802542
2013-04-25,2013-04-25,109.849998,112.574997,109.675003,112.25,2832162.0,68.676109,0.02161260380696284
2013-04-26,2013-04-26,111.699997,112.5,108.125,108.775002,1262790.0,66.550072,-0.031446753642766716
2013-04-29,2013-04-29,109.0,112.0,107.625,111.75,1435884.0,68.370209,0.026982562083480488
2013-04-30,2013-04-30,112.324997,113.5,110.050003,112.199997,3268680.0,68.645531,0.004018842952826951
2013-05-02,2013-05-02,111.875,113.449997,111.25,112.75,2708358.0,68.982033,0.00489004761505285
2013-05-03,2013-05-03,112.800003,112.974998,108.550003,108.974998,1906856.0,66.67244000000001,-0.03405440525484593
2013-05-06,2013-05-06,109.099998,112.224998,108.125,111.800003,2037574.0,68.40080999999999,0.025592992533287173
2013-05-07,2013-05-07,110.824997,117.25,110.824997,116.550003,2379282.0,71.306931,0.041608865008270435
2013-05-08,2013-05-08,116.5,117.925003,114.400002,115.275002,3369816.0,70.526848,-0.011000071653220369
2013-05-09,2013-05-09,114.650002,118.824997,113.400002,116.099998,3113868.0,71.031609,0.0071315151348505515
2013-05-10,2013-05-10,116.5,117.425003,114.324997,116.449997,1520346.0,71.245735,0.003009982554425861
2013-05-13,2013-05-13,116.150002,116.25,111.400002,112.175003,1982286.0,68.630234,-0.03740179120560239
2013-05-14,2013-05-14,112.025002,113.650002,110.699997,112.199997,1663352.0,68.645531,0.00022286526778181329
2013-05-15,2013-05-15,112.675003,118.474998,112.675003,117.375,2178720.0,71.811661,0.04509084056778345
2013-05-16,2013-05-16,117.275002,120.449997,115.75,119.050003,3180672.0,72.83645600000001,0.014169726752402134
2013-05-17,2013-05-17,119.0,122.449997,119.0,121.300003,3999622.0,74.21302800000002,0.01872311518553893
2013-05-20,2013-05-20,122.050003,122.75,118.849998,119.550003,1359264.0,73.142365,-0.014531966829948397
2013-05-21,2013-05-21,119.375,121.25,117.5,118.199997,1617392.0,72.316406,-0.01135672839334845
2013-05-22,2013-05-22,118.449997,118.849998,116.275002,118.050003,1559188.0,72.224648,-0.0012696463708667947
2013-05-23,2013-05-23,117.599998,117.599998,110.375,112.724998,2321020.0,68.96672099999999,-0.046157288778436716
2013-05-24,2013-05-24,112.5,114.775002,111.875,113.875,1454872.0,69.67031899999999,0.010150303856555354
