Date,Date.1,SUNDARMFIN.NS.Open,SUNDARMFIN.NS.High,SUNDARMFIN.NS.Low,SUNDARMFIN.NS.Close,SUNDARMFIN.NS.Volume,SUNDARMFIN.NS.Adjusted,log_returns
2013-04-01,2013-04-01,388.199005,399.640991,388.199005,396.412994,39416.0,370.549042,0.023257122414046986
2013-04-02,2013-04-02,392.20401,402.052002,392.20401,398.742004,151715.0,372.726044,0.005857880255310199
2013-04-03,2013-04-03,397.108002,411.696014,396.494995,406.996002,26127.0,380.441528,0.020488810704951455
2013-04-04,2013-04-04,400.458008,406.138,400.416992,402.174988,6268.0,375.935028,-0.011916163421898496
2013-04-05,2013-04-05,392.48999,402.092987,392.367004,395.717987,10823.0,369.899323,-0.016185461973933002
2013-04-08,2013-04-08,392.326996,402.052002,392.286011,396.65799,14969.0,370.778015,0.0023726725988257873
2013-04-09,2013-04-09,396.372009,398.006989,391.467987,392.40799,43088.0,366.805359,-0.010772190793825407
2013-04-10,2013-04-10,392.286011,405.117004,390.651001,399.722992,39586.0,373.643036,0.01846954202265305
2013-04-11,2013-04-11,400.458008,404.503998,392.286011,392.858002,7180.0,367.226044,-0.017323310282865382
2013-04-12,2013-04-12,399.518005,399.518005,389.792999,393.347992,6785.0,367.684021,0.0012463485835763064
2013-04-15,2013-04-15,384.235992,396.330994,384.235992,394.450989,37787.0,368.714996,0.0028000463058539533
2013-04-16,2013-04-16,390.36499,403.72699,390.36499,399.27301,34550.0,373.222412,0.01215054371404545
2013-04-17,2013-04-17,395.554993,401.970001,392.367004,393.102997,7233.0,367.454987,-0.01557369396328401
2013-04-18,2013-04-18,393.102997,409.325989,392.326996,405.362,60655.0,378.914154,0.030708846032298176
2013-04-22,2013-04-22,404.545013,420.072998,404.545013,416.558014,42078.0,389.3797,0.02724528726524511
2013-04-23,2013-04-23,416.803986,420.89001500000006,408.631012,408.958008,34754.0,382.275543,-0.01841329475826736
2013-04-25,2013-04-25,412.71701,425.957001,408.713013,420.480988,102403.0,393.046692,0.027786748635713288
2013-04-26,2013-04-26,423.300995,424.894012,409.447998,412.22699,22004.0,385.331238,-0.01982509113915221
2013-04-29,2013-04-29,416.763,429.062012,411.899994,424.894012,19516.0,397.171753,0.030265491501888956
2013-04-30,2013-04-30,429.062012,439.03299,417.621002,424.894012,239153.0,397.171753,0.0
2013-05-02,2013-05-02,424.976013,442.466003,424.976013,435.519012,70827.0,407.103577,0.024698827674211717
2013-05-03,2013-05-03,445.40799,445.40799,425.261993,427.019012,20045.0,399.158173,-0.019709880115564186
2013-05-06,2013-05-06,429.062012,437.234985,424.976013,426.446991,10425.0,398.623474,-0.001340464730104962
2013-05-07,2013-05-07,433.148987,433.148987,424.158997,427.51001,14704.0,399.617096,0.0024895314784272315
2013-05-08,2013-05-08,424.485992,436.744995,424.485992,432.45401,59036.0,404.238556,0.011498360199883706
2013-05-09,2013-05-09,429.062012,438.869995,425.834015,434.455994,33952.0,406.109924,0.004618682882464142
2013-05-10,2013-05-10,433.966003,445.367004,433.966003,442.05700700000006,58137.0,413.214966,0.017344084613498012
2013-05-13,2013-05-13,442.955994,449.493988,426.773987,432.25,43138.0,404.047821,-0.02243471656987417
2013-05-14,2013-05-14,431.514008,443.07901,425.957001,441.23999,63517.0,412.451263,0.020584808723412173
2013-05-15,2013-05-15,441.321014,449.493988,437.234985,441.15799,33513.0,412.374634,-0.00018580648473598416
2013-05-16,2013-05-16,446.143005,448.30899000000005,433.312012,435.804993,18234.0,407.37085,-0.012208292074816107
2013-05-17,2013-05-17,437.234985,442.873993,429.34899900000005,434.210999,12929.0,405.88089,-0.003664207757043236
2013-05-20,2013-05-20,434.824005,458.56601,431.71899400000007,452.681,113306.0,423.14584400000007,0.04165716231679717
2013-05-21,2013-05-21,448.677002,469.108002,448.677002,459.300995,144967.0,429.333923,0.014518086950841003
2013-05-22,2013-05-22,464.204987,464.204987,456.604004,460.078003,34021.0,430.060211,0.0016902330238863785
2013-05-23,2013-05-23,463.26501500000006,463.79599,448.63598600000006,455.704987,57404.0,425.972473,-0.009550497655650858
2013-05-24,2013-05-24,458.484009,459.872986,451.291992,457.953003,22842.0,428.073853,0.0049210076237447
2013-05-27,2013-05-27,459.300995,467.47399900000005,454.846985,464.572998,42957.0,434.261902,0.014352078486200346
2013-05-28,2013-05-28,465.838989,469.108002,464.204987,467.147003,17594.0,436.667999,0.005525365746839483
2013-05-29,2013-05-29,466.657013,469.925995,446.878998,452.55899000000005,149531.0,423.031799,-0.031725827505789006
2013-05-30,2013-05-30,460.812988,460.936005,445.694,458.811005,28845.0,428.875885,0.013720213553130023
2013-05-31,2013-05-31,450.311005,465.798004,450.311005,457.993988,36332.0,428.112152,-0.0017823660756368653
2013-06-03,2013-06-03,460.894989,461.752991,453.989014,455.01098600000006,12293.0,425.323822,-0.0065343857215500725
2013-06-04,2013-06-04,469.925995,469.925995,453.661987,458.157013,32927.0,428.264587,0.006890385586254766
2013-06-05,2013-06-05,458.484009,460.485992,454.39801,456.277008,12098.0,426.507233,-0.004111872747600387
2013-06-06,2013-06-06,456.80899000000005,460.118011,450.311005,457.13501,35170.0,427.309235,0.0018786291104229136
2013-06-07,2013-06-07,459.954987,459.996002,453.049011,457.747986,45197.0,427.882202,0.0013399738606869604
2013-06-10,2013-06-10,456.032013,459.34201,438.378998,449.248993,19120.0,419.937714,-0.018741528447507427
2013-06-11,2013-06-11,445.40799,453.539001,443.77301,450.06601,35309.0,420.701477,0.0018171011257379632
2013-06-12,2013-06-12,453.579987,453.579987,432.332001,441.770996,42382.0,412.947632,-0.01860271551574133
2013-06-13,2013-06-13,440.503998,450.964996,437.276001,441.28100599999993,14949.0,412.48962400000005,-0.0011097343709023377
2013-06-14,2013-06-14,450.311005,450.311005,437.234985,439.15600599999993,20362.0,410.503265,-0.004827168943141835
2013-06-17,2013-06-17,437.234985,444.427002,437.234985,441.770996,14845.0,412.947632,0.005936903314044173
2013-06-18,2013-06-18,443.77301,445.40799,439.074005,441.688995,16142.0,412.871033,-0.0001855104600219093
2013-06-19,2013-06-19,445.40799,457.666992,440.503998,453.131012,64131.0,423.566467,0.02557517321869085
2013-06-20,2013-06-20,450.882996,453.416992,443.324005,447.89999400000005,24878.0,418.676727,-0.011611361118617049
2013-06-21,2013-06-21,447.859009,452.763,445.40799,448.963013,30469.0,419.67041,0.0023705775841271763
2013-06-24,2013-06-24,449.493988,449.493988,443.446014,445.162994,32626.0,416.118347,-0.008499957331057573
2013-06-25,2013-06-25,445.162994,448.595001,438.134003,441.15799,50848.0,412.374634,-0.009037465776327913
2013-06-26,2013-06-26,441.321014,445.40799,438.869995,442.015991,24429.0,413.176636,0.001942949593670029
2013-06-27,2013-06-27,442.015991,452.640991,420.235992,425.303009,148519.0,397.554138,-0.038544070553404815
2013-06-28,2013-06-28,425.792999,439.687012,425.792999,437.071991,80837.0,408.555145,0.02729577802231553
2013-07-01,2013-07-01,433.148987,445.694,431.023987,443.609985,43182.0,414.666626,0.014847987491017456
2013-07-02,2013-07-02,442.097992,463.306,437.234985,457.708008,36482.0,432.229431,0.04148165098308887
2013-07-03,2013-07-03,451.128998,460.118011,449.493988,454.888,15239.0,429.566376,-0.006180265568240806
2013-07-04,2013-07-04,460.036987,461.752991,453.989014,456.114014,7649.0,430.724121,0.0026915226960140264
2013-07-05,2013-07-05,463.386993,463.386993,453.579987,457.502991,16385.0,432.035828,0.0030407253192308303
2013-07-08,2013-07-08,461.712006,461.712006,445.81601,448.513,23912.0,423.54626500000006,-0.01984576747301681
2013-07-09,2013-07-09,443.937012,451.946014,441.321014,443.651001,13327.0,418.954895,-0.010899487554473451
2013-07-10,2013-07-10,449.453003,449.453003,443.36499,444.795013,10195.0,420.035187,0.002575221376741155
2013-07-11,2013-07-11,457.257996,457.257996,443.8550110000001,446.062012,5189.0,421.231659,0.0028444549132116137
2013-07-12,2013-07-12,449.453003,449.493988,441.403015,447.654999,16039.0,422.735992,0.0035649105540471733
2013-07-15,2013-07-15,447.654999,449.493988,442.588013,448.1050110000001,21314.0,423.16098,0.0010048222178955513
2013-07-16,2013-07-16,448.677002,448.677002,435.151001,445.122009,18027.0,420.344055,-0.00667911951956679
2013-07-17,2013-07-17,441.321014,447.041992,422.033997,424.567993,50615.0,400.934174,-0.04727629528694166
2013-07-18,2013-07-18,424.976013,443.731995,421.707001,436.295013,20744.0,412.008331,0.027246310800613568
2013-07-19,2013-07-19,437.929993,443.242004,423.423004,432.167999,22033.0,408.111053,-0.009504243925852585
2013-07-22,2013-07-22,427.837006,457.502991,427.837006,443.651001,19382.0,418.954895,0.02622393886985197
2013-07-23,2013-07-23,437.4800110000001,448.390991,437.438995,445.734985,25973.0,420.922852,0.00468630252110902
2013-07-24,2013-07-24,448.595001,448.595001,429.062012,433.066986,33764.0,408.960022,-0.028832161939876144
2013-07-25,2013-07-25,425.834015,440.463013,424.158997,429.144012,8319.0,405.255432,-0.009099840946593218
2013-07-26,2013-07-26,439.687012,439.687012,416.354004,421.625,26449.0,398.154968,-0.017676268262499132
2013-07-29,2013-07-29,413.002991,431.433014,412.962006,425.058014,18881.0,401.396881,0.008109369693099389
2013-07-30,2013-07-30,429.062012,437.113007,422.769989,426.977997,70336.0,403.209991,0.00450682968791849
2013-07-31,2013-07-31,429.062012,429.062012,408.916992,421.544006,27401.0,398.078491,-0.01280829630779401
2013-08-01,2013-08-01,425.792999,430.696991,416.803986,421.584991,10328.0,398.117188,9.720474765462228e-05
2013-08-02,2013-08-02,420.89001500000006,430.533997,416.354004,421.829987,23570.0,398.348541,0.0005809490555170883
2013-08-05,2013-08-05,422.647003,430.002014,418.561005,426.691986,26955.0,402.939911,0.01146009339977283
2013-08-06,2013-08-06,418.888,427.22399900000005,409.529999,411.696014,13840.0,388.778717,-0.03577711574953657
2013-08-07,2013-08-07,415.985992,415.985992,404.953003,409.89801,144790.0,387.08078,-0.0043769257636130385
2013-08-08,2013-08-08,415.04599,419.908997,402.910004,408.794006,17418.0,386.038239,-0.002696975772951582
2013-08-12,2013-08-12,404.545013,412.71701,404.545013,407.242004,8196.0,384.572632,-0.003803758348754904
2013-08-13,2013-08-13,413.453003,413.453003,404.626007,406.588013,10310.0,383.955017,-0.0016072684795691572
2013-08-14,2013-08-14,407.813995,408.998993,404.545013,408.46701,137159.0,385.729401,0.004610687450306905
2013-08-16,2013-08-16,407.813995,412.71701,405.484009,408.140991,33144.0,385.42157,-0.0007983677073024609
2013-08-19,2013-08-19,408.631012,409.447998,405.362,407.569,25069.0,384.881409,-0.0014024639739504965
2013-08-20,2013-08-20,404.545013,409.447998,393.226013,407.813995,13603.0,385.112762,0.0006009214502533666
2013-08-21,2013-08-21,409.447998,418.274994,404.545013,406.464996,30957.0,383.838867,-0.003313332379765832
2013-08-22,2013-08-22,401.68399,405.362,391.182007,396.903015,20643.0,374.809143,-0.02380590292591833
2013-08-23,2013-08-23,401.643005,408.631012,395.717987,402.665009,38746.0,380.250427,0.014413109673822257
2013-08-26,2013-08-26,400.458008,411.083008,394.901001,402.705994,4395.0,380.289093,0.00010168044925151776
2013-08-27,2013-08-27,408.631012,410.959991,395.554993,398.86499,13408.0,376.661896,-0.009583777062110777
2013-08-28,2013-08-28,398.86499,398.86499,387.585999,392.858002,14560.0,370.98938,-0.015174520610547582
2013-08-29,2013-08-29,388.445007,400.458008,384.113007,396.412994,4992.0,374.346436,0.0090082312683748
2013-08-30,2013-08-30,400.295013,400.458008,392.286011,395.390991,9554.0,373.381317,-0.002581473088542729
2013-09-02,2013-09-02,402.338013,402.338013,390.651001,392.694,17129.0,370.834473,-0.006844396414637188
2013-09-03,2013-09-03,388.648987,399.600006,384.358002,386.647003,12076.0,365.124023,-0.015518713717625587
2013-09-04,2013-09-04,388.281006,392.20401,377.697998,379.903992,28556.0,358.756378,-0.017593539595354812
2013-09-05,2013-09-05,391.467987,407.813995,379.127991,380.516998,29491.0,359.335266,0.0016122959520235016
2013-09-06,2013-09-06,384.929993,395.187012,380.148987,391.631989,22750.0,369.831482,0.028791606568481683
2013-09-10,2013-09-10,392.449005,457.502991,392.449005,437.234985,52297.0,412.896027,0.11014836282768757
2013-09-11,2013-09-11,421.747986,432.290985,416.19101,418.437988,25196.0,395.145386,-0.04394204765690457
2013-09-12,2013-09-12,412.34899900000005,424.93499800000006,412.34899900000005,414.556,19146.0,391.479462,-0.009320708719616988
2013-09-13,2013-09-13,408.713013,422.075012,408.713013,415.291992,11371.0,392.17453,0.001773916012332677
2013-09-16,2013-09-16,420.84899900000005,420.84899900000005,412.71701,418.846985,20150.0,395.531616,0.008523753033037984
2013-09-17,2013-09-17,413.535004,420.89001500000006,413.453003,416.558014,7087.0,393.370056,-0.005479936184612733
2013-09-18,2013-09-18,412.757996,424.854004,412.757996,419.826996,15652.0,396.457062,0.007816955505502321
2013-09-19,2013-09-19,420.84899900000005,433.190002,420.032013,426.977997,46179.0,403.209991,0.01688975306509022
2013-09-20,2013-09-20,425.506989,432.332001,417.621002,422.402008,12449.0,398.888702,-0.010775060093712874
