Date,Date.1,SUPREMEIND.NS.Open,SUPREMEIND.NS.High,SUPREMEIND.NS.Low,SUPREMEIND.NS.Close,SUPREMEIND.NS.Volume,SUPREMEIND.NS.Adjusted,log_returns
2013-04-01,2013-04-01,314.0,324.799988,314.0,316.850006,8594.0,295.867188,0.013184139944769413
2013-04-02,2013-04-02,314.0,318.850006,313.049988,316.850006,22011.0,295.867188,0.0
2013-04-03,2013-04-03,317.950012,317.950012,313.149994,315.0,1644.0,294.13974,-0.005855703904800613
2013-04-04,2013-04-04,315.0,317.700012,313.600006,316.049988,5745.0,295.120239,0.003327902589202125
2013-04-05,2013-04-05,317.5,317.5,313.0,313.0,4514.0,292.2720950000001,-0.009697662554193798
2013-04-08,2013-04-08,310.0,320.0,310.0,311.049988,7652.0,290.451324,-0.006249197702017817
2013-04-09,2013-04-09,312.0,313.850006,310.0,310.0,19871.0,289.470856,-0.0033813810473706236
2013-04-10,2013-04-10,310.0,313.100006,310.0,311.549988,23579.0,290.918152,0.004987341179798932
2013-04-11,2013-04-11,311.0,311.700012,310.0,310.0,5395.0,289.470856,-0.004987341179798932
2013-04-12,2013-04-12,310.0,311.0,307.75,309.649994,9708.0,289.1440120000001,-0.0011297464093624756
2013-04-15,2013-04-15,307.850006,315.200012,307.850006,312.299988,14943.0,291.6185,0.008521565779565421
2013-04-16,2013-04-16,314.899994,316.0,310.0,310.049988,10924.0,289.517517,-0.007230638240229403
2013-04-17,2013-04-17,313.399994,316.049988,309.149994,313.75,64992.0,292.972473,0.011862852843592007
2013-04-18,2013-04-18,314.149994,315.0,311.0,311.450012,5867.0,290.824829,-0.007357532077947759
2013-04-22,2013-04-22,310.049988,311.899994,310.0,310.299988,6666.0,289.750946,-0.003699376622141593
2013-04-23,2013-04-23,310.299988,313.5,310.049988,310.200012,7438.0,289.657593,-0.00032223550232401976
2013-04-25,2013-04-25,310.25,315.0,303.0,314.450012,81144.0,293.62616,0.013607881992829364
2013-04-26,2013-04-26,315.049988,325.950012,310.850006,323.799988,99066.0,302.356934,0.029300826553817494
2013-04-29,2013-04-29,325.399994,327.600006,322.049988,325.75,15416.0,304.177826,0.006004264192344344
2013-04-30,2013-04-30,326.950012,327.850006,323.299988,327.200012,10792.0,305.5317990000001,0.004441377239817079
2013-05-02,2013-05-02,327.850006,328.700012,324.700012,326.049988,31124.0,304.457916,-0.00352099087258928
2013-05-03,2013-05-03,328.850006,328.850006,324.0,326.100006,46197.0,304.504639,0.00015345114312204092
2013-05-06,2013-05-06,328.0,328.850006,326.0,328.049988,11485.0,306.325531,0.005962041441970989
2013-05-07,2013-05-07,328.799988,328.799988,326.0,326.25,191017.0,304.644684,-0.005502236277031614
2013-05-08,2013-05-08,326.25,342.0,326.25,337.799988,42043.0,315.429749,0.034789864567449584
2013-05-09,2013-05-09,339.950012,346.0,338.0,344.600006,16221.0,321.77951,0.019930567864732573
2013-05-10,2013-05-10,349.5,356.950012,345.0,351.649994,39226.0,328.36264,0.020252047961700548
2013-05-13,2013-05-13,352.899994,354.799988,348.0,352.450012,57252.0,329.109711,0.0022725558584628662
2013-05-14,2013-05-14,353.100006,357.0,346.200012,350.549988,34583.0,327.3354490000001,-0.0054056802567625795
2013-05-15,2013-05-15,351.0,353.700012,346.5,350.600006,36314.0,327.382172,0.00014272718063690348
2013-05-16,2013-05-16,352.899994,355.0,348.049988,350.700012,27903.0,327.475555,0.00028520088191008597
2013-05-17,2013-05-17,348.0,360.0,348.0,355.950012,30562.0,332.377869,0.014859070274264141
2013-05-20,2013-05-20,360.0,365.0,353.75,354.799988,99714.0,331.304047,-0.0032359565965212056
2013-05-21,2013-05-21,353.0,358.950012,350.0,350.75,47292.0,327.522247,-0.011480542206704136
2013-05-22,2013-05-22,353.850006,354.600006,349.0,349.75,68816.0,326.58850099999995,-0.002855010828391791
2013-05-23,2013-05-23,354.549988,354.700012,345.100006,346.899994,6139.0,323.927185,-0.008182218830067534
2013-05-24,2013-05-24,351.950012,355.100006,342.049988,351.399994,142228.0,328.129181,0.012888622479229284
2013-05-27,2013-05-27,350.100006,360.0,350.100006,357.149994,15090.0,333.498413,0.01623073136371911
2013-05-28,2013-05-28,355.25,362.0,355.25,358.950012,34257.0,335.17923,0.00502729695731574
2013-05-29,2013-05-29,360.0,362.5,359.0,360.450012,9906.0,336.579834,0.004169965407555765
2013-05-30,2013-05-30,360.0,361.950012,353.0,358.5,27262.0,334.759003,-0.0054244901813760285
2013-05-31,2013-05-31,361.799988,366.049988,356.0,362.25,23612.0,338.260651,0.01040587619195854
2013-06-03,2013-06-03,360.0,378.0,358.049988,371.399994,8470.0,346.8047180000001,0.024945094097657442
2013-06-04,2013-06-04,373.950012,375.5,355.0,356.75,87103.0,333.124878,-0.04024442050562893
2013-06-05,2013-06-05,356.299988,365.100006,353.049988,357.75,11189.0,334.058655,0.002799162639713693
2013-06-06,2013-06-06,355.5,366.0,353.149994,353.850006,8308.0,330.416962,-0.010961213229380816
2013-06-07,2013-06-07,355.950012,365.0,350.0,350.850006,64171.0,327.615601,-0.008514405156341276
2013-06-10,2013-06-10,351.0,358.950012,351.0,354.149994,7881.0,330.697052,0.00936173257892392
2013-06-11,2013-06-11,354.0,359.5,341.649994,342.950012,9398.0,320.238739,-0.03213592851924485
2013-06-12,2013-06-12,347.0,347.0,330.0,333.049988,11848.0,310.994385,-0.02929191965095157
2013-06-13,2013-06-13,331.5,335.0,322.5,326.25,13230.0,304.644684,-0.02062873034385948
2013-06-14,2013-06-14,323.0,334.700012,323.0,330.200012,5988.0,308.333099,0.012034561834018298
2013-06-17,2013-06-17,334.0,370.0,312.0,326.299988,30176.0,304.6914060000001,-0.0118812080417241
2013-06-18,2013-06-18,330.0,332.75,326.350006,329.350006,3628.0,307.539398,0.00930372181438166
2013-06-19,2013-06-19,334.5,338.950012,325.100006,328.799988,18491.0,307.025818,-0.0016713608456324636
2013-06-20,2013-06-20,328.799988,332.0,321.049988,326.899994,7463.0,305.251678,-0.005795231661849698
2013-06-21,2013-06-21,325.0,341.0,321.299988,335.399994,16291.0,313.188782,0.02566953599689548
2013-06-24,2013-06-24,329.149994,343.0,328.25,336.25,18336.0,313.982452,0.0025309528901935607
2013-06-25,2013-06-25,336.25,337.0,326.25,327.600006,21322.0,305.905304,-0.026061508990078863
2013-06-26,2013-06-26,325.100006,339.399994,325.100006,334.899994,36910.0,312.721832,0.022038489737101763
2013-06-27,2013-06-27,331.399994,340.0,330.25,331.299988,6306.0,309.36026,-0.010807591999836495
2013-06-28,2013-06-28,333.0,346.700012,333.0,337.049988,48935.0,314.729492,0.017207026584812546
2013-07-01,2013-07-01,336.5,345.5,330.950012,341.5,52203.0,318.8848270000001,0.013116479377371705
2013-07-02,2013-07-02,333.350006,349.0,333.350006,340.549988,32803.0,317.997681,-0.002785903404904921
2013-07-03,2013-07-03,343.0,345.0,328.100006,332.549988,4006.0,310.527496,-0.023771638902642774
2013-07-04,2013-07-04,334.0,339.950012,332.0,335.0,4005.0,312.815308,0.0073404946945130325
2013-07-05,2013-07-05,335.0,338.549988,330.649994,332.5,95152.0,310.480835,-0.007490769651412599
