Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2013-04-01,2013-04-01,218.0,220.800003,214.149994,218.949997,955737.0,193.750916,0.004348351491660907
2013-04-02,2013-04-02,218.0,234.800003,218.0,233.149994,1948741.0,206.31662,0.06283858315595303
2013-04-03,2013-04-03,233.5,233.5,224.199997,225.850006,1652683.0,199.856796,-0.03181088903688245
2013-04-04,2013-04-04,225.0,226.850006,219.449997,221.850006,1464219.0,196.317139,-0.017869682372759318
2013-04-05,2013-04-05,221.899994,224.5,218.149994,220.75,1367621.0,195.34375,-0.0049705805784414645
2013-04-08,2013-04-08,221.0,222.5,213.75,214.600006,1254573.0,189.901581,-0.02825488391406328
2013-04-09,2013-04-09,215.449997,218.600006,207.100006,208.199997,1647416.0,184.238129,-0.030276842989463763
2013-04-10,2013-04-10,209.75,213.199997,204.5,212.300003,1445886.0,187.866272,0.01950129034495429
2013-04-11,2013-04-11,213.550003,216.899994,209.100006,213.949997,1308936.0,189.32637,0.0077419606341804234
2013-04-12,2013-04-12,212.0,220.0,210.0,218.75,1111665.0,193.573929,0.02218715031053975
2013-04-15,2013-04-15,217.050003,228.300003,215.649994,224.25,1649512.0,198.440948,0.02483206316585207
2013-04-16,2013-04-16,222.350006,234.25,222.350006,233.0,1971105.0,206.183884,0.038276846715345585
2013-04-17,2013-04-17,235.0,237.0,226.5,231.399994,1747084.0,204.768036,-0.0068906046336767455
2013-04-18,2013-04-18,231.399994,238.899994,228.5,236.899994,1602081.0,209.63504,0.02349030728137258
2013-04-22,2013-04-22,236.899994,242.399994,236.25,240.399994,1517392.0,212.732239,0.014666166960238591
2013-04-23,2013-04-23,240.550003,242.100006,234.25,237.850006,1180627.0,210.475708,-0.010664035969364605
2013-04-25,2013-04-25,239.949997,245.899994,238.350006,243.199997,1714314.0,215.209961,0.022243869353131274
2013-04-26,2013-04-26,242.899994,242.899994,231.699997,233.600006,921691.0,206.714828,-0.0402739134597292
2013-04-29,2013-04-29,234.0,247.899994,232.699997,245.600006,1706227.0,217.33374,0.05009394349103325
2013-04-30,2013-04-30,247.100006,247.5,239.25,244.800003,1604408.0,216.625839,-0.0032625233416565536
2013-05-02,2013-05-02,244.0,251.949997,243.0,247.100006,1739689.0,218.661118,0.00935150387324857
2013-05-03,2013-05-03,247.100006,247.899994,237.5,239.75,1381447.0,212.157028,-0.03019642635027342
2013-05-06,2013-05-06,240.0,242.399994,235.0,241.350006,823832.0,213.57289100000003,0.006651485633913268
2013-05-07,2013-05-07,242.550003,245.899994,241.399994,242.149994,1132144.0,214.280823,0.003309227536802517
2013-05-08,2013-05-08,244.050003,244.899994,235.199997,239.199997,955969.0,211.670334,-0.0122573757157296
2013-05-09,2013-05-09,240.0,255.0,237.100006,242.5,7514742.0,214.59053,0.01370166455279076
2013-05-10,2013-05-10,243.699997,243.949997,236.699997,239.600006,1663385.0,212.024292,-0.012030847598207828
2013-05-13,2013-05-13,238.75,241.5,232.649994,233.350006,993515.0,206.493607,-0.02643139992924404
2013-05-14,2013-05-14,233.0,235.399994,229.25,230.850006,1275224.0,204.281342,-0.01077128191168608
2013-05-15,2013-05-15,232.800003,244.5,232.050003,243.550003,3307763.0,215.519684,0.05355407526735245
2013-05-16,2013-05-16,242.050003,250.800003,241.0,243.850006,2842424.0,215.785172,0.00123109225336826
2013-05-17,2013-05-17,245.0,245.449997,240.0,243.25,1839616.0,215.254211,-0.00246363227814328
2013-05-20,2013-05-20,242.100006,248.699997,240.25,241.5,798445.0,213.705612,-0.0072202833209757955
2013-05-21,2013-05-21,243.399994,243.399994,234.149994,235.149994,1516532.0,208.086426,-0.026645920077508656
2013-05-22,2013-05-22,236.25,238.850006,228.100006,230.300003,1245817.0,203.794647,-0.020840648519825145
2013-05-23,2013-05-23,228.0,229.699997,216.5,226.5,2024152.0,200.431976,-0.016637937136191102
2013-05-24,2013-05-24,227.0,231.649994,222.399994,227.449997,793083.0,201.272644,0.0041855093788516476
2013-05-27,2013-05-27,227.100006,229.949997,223.550003,227.25,650885.0,201.095673,-0.0008796468505813947
2013-05-28,2013-05-28,227.5,235.0,226.550003,234.25,948531.0,207.290039,0.030338187264877806
2013-05-29,2013-05-29,233.5,235.0,225.25,226.0,1492371.0,199.989532,-0.0358539419753674
2013-05-30,2013-05-30,225.0,233.899994,222.699997,231.449997,1512310.0,204.812271,0.023828783184337787
2013-05-31,2013-05-31,231.0,231.0,219.100006,220.050003,1514243.0,194.724304,-0.05050907583437248
2013-06-03,2013-06-03,220.25,223.5,216.399994,220.25,1155799.0,194.901291,0.0009084978730573569
