Date,Date.1,WIPRO.NS.Open,WIPRO.NS.High,WIPRO.NS.Low,WIPRO.NS.Close,WIPRO.NS.Volume,WIPRO.NS.Adjusted,log_returns
2013-04-01,2013-04-01,218.649994,220.875,214.050003,215.5,1751058.0,184.915924,-0.014168234255889978
2013-04-02,2013-04-02,215.5,225.600006,213.850006,224.824997,3806534.0,192.917511,0.04236143648361779
2013-04-03,2013-04-03,223.550003,227.350006,223.0,224.300003,3923488.0,192.467026,-0.002337847847685204
2013-04-04,2013-04-04,223.5,225.875,220.75,222.550003,3264100.0,190.965363,-0.007832779497138453
2013-04-05,2013-04-05,220.75,231.5,219.375,227.300003,3615068.0,195.041245,0.02111898296677772
2013-04-08,2013-04-08,225.75,228.0,214.774994,224.399994,12271312.0,192.552811,-0.012840590058715406
2013-04-09,2013-04-09,203.5,209.0,195.125,196.850006,14171642.0,168.912766,-0.13098805481705522
2013-04-10,2013-04-10,197.550003,202.399994,197.550003,201.125,4875874.0,172.581055,0.02148460602563507
2013-04-11,2013-04-11,203.699997,204.0,199.5,201.475006,2561134.0,172.881348,0.0017384993158477966
2013-04-12,2013-04-12,194.949997,195.0,189.524994,191.899994,7752650.0,164.665253,-0.04869086602157058
2013-04-15,2013-04-15,191.949997,196.324997,188.149994,189.550003,3153160.0,162.648804,-0.012321343782812022
2013-04-16,2013-04-16,189.25,191.550003,188.350006,190.675003,1374018.0,163.614136,0.005917526623939295
2013-04-17,2013-04-17,192.5,192.725006,185.600006,187.274994,2272992.0,160.696655,-0.017992368960589644
2013-04-18,2013-04-18,186.625,188.949997,181.149994,184.524994,5092744.0,158.336945,-0.014793131710565175
2013-04-22,2013-04-22,173.149994,174.0,163.75,169.699997,17899166.0,145.615936,-0.08375274530992892
2013-04-23,2013-04-23,171.125,173.949997,170.050003,171.375,3470616.0,147.053192,0.00982179134406458
2013-04-25,2013-04-25,171.5,172.475006,166.350006,167.75,4848506.0,143.94268799999998,-0.02137915131384727
2013-04-26,2013-04-26,168.100006,169.5,163.875,165.100006,2959910.0,141.66876200000004,-0.015923549617816057
2013-04-29,2013-04-29,165.5,171.449997,163.600006,171.0,3458770.0,146.731445,0.0351123404558944
2013-04-30,2013-04-30,172.074997,175.0,169.625,174.175003,3069378.0,149.455826,0.018396859716511397
2013-05-02,2013-05-02,174.0,177.75,171.725006,176.125,3095622.0,151.129105,0.011133600603064231
2013-05-03,2013-05-03,175.324997,178.925003,174.600006,177.625,2544250.0,152.41618300000005,0.00848035376844436
2013-05-06,2013-05-06,178.449997,180.725006,176.850006,178.675003,2296392.0,153.317184,0.005894048250099536
2013-05-07,2013-05-07,179.0,180.0,174.524994,175.399994,4679608.0,150.506973,-0.01849945818763743
2013-05-08,2013-05-08,176.0,177.199997,173.625,175.524994,2101788.0,150.614227,0.0007123643538591296
2013-05-09,2013-05-09,176.199997,178.5,176.0,177.399994,2523562.0,152.223145,0.010625723815974377
2013-05-10,2013-05-10,178.274994,178.574997,176.300003,177.5,3013842.0,152.308929,0.000563382379676014
2013-05-13,2013-05-13,177.5,177.800003,173.100006,173.975006,2680174.0,149.28419499999995,-0.020059047632730483
2013-05-14,2013-05-14,174.0,175.25,172.300003,173.824997,1044786.0,149.15548700000005,-0.0008625395062544782
2013-05-15,2013-05-15,173.625,175.75,170.75,173.074997,3076190.0,148.511948,-0.004323885833415808
2013-05-16,2013-05-16,173.25,173.675003,171.274994,173.225006,3844030.0,148.640671,0.0008663763993386198
2013-05-17,2013-05-17,173.0,174.699997,169.300003,172.0,2195544.0,147.589508,-0.007096963689043002
2013-05-20,2013-05-20,170.625,170.925003,167.074997,168.975006,9185736.0,144.99383500000005,-0.017743601353632066
2013-05-21,2013-05-21,169.024994,171.875,168.024994,169.449997,3034634.0,145.401382,0.0028068455932421803
2013-05-22,2013-05-22,169.699997,171.800003,169.550003,171.024994,2883316.0,146.752884,0.00925204111673228
2013-05-23,2013-05-23,170.524994,171.274994,165.899994,168.550003,4311706.0,144.62912,-0.014577438409617116
2013-05-24,2013-05-24,169.274994,171.199997,166.399994,168.100006,1339700.0,144.242996,-0.0026733229589934733
2013-05-27,2013-05-27,168.5,171.0,166.5,170.125,2465672.0,145.980591,0.011974324898409884
2013-05-28,2013-05-28,169.350006,171.725006,168.0,170.050003,2652268.0,145.91626000000005,-0.000440778999986513
2013-05-29,2013-05-29,169.5,172.149994,168.024994,169.675003,3424816.0,145.594482,-0.0022076588223223226
2013-05-30,2013-05-30,168.774994,171.149994,167.25,168.050003,2340426.0,144.200104,-0.00962329062166134
2013-05-31,2013-05-31,168.875,169.925003,157.425003,163.824997,5448382.0,140.57470700000002,-0.02546287619166065
2013-06-03,2013-06-03,165.050003,167.0,161.550003,162.475006,2947862.0,139.41632099999998,-0.00827449806206726
2013-06-04,2013-06-04,163.175003,166.925003,163.175003,165.449997,1919232.0,141.96907,0.01814464515691849
2013-06-05,2013-06-05,166.0,166.350006,162.024994,162.5,2013340.0,139.437759,-0.01799088732025833
2013-06-06,2013-06-06,162.0,165.625,161.550003,165.0,2719572.0,141.582962,0.015267519507197846
2013-06-07,2013-06-07,164.0,169.5,164.0,167.449997,1634318.0,143.685242,0.014739238580131262
2013-06-10,2013-06-10,168.5,172.449997,168.399994,171.625,2088788.0,147.26771499999995,0.024627033156897404
2013-06-11,2013-06-11,172.050003,173.5,159.949997,172.524994,4661192.0,148.03999299999995,0.0052303393351618155
2013-06-12,2013-06-12,172.875,173.0,170.5,172.175003,2226068.0,147.739685,-0.0020306202591191536
2013-06-13,2013-06-13,170.0,170.5,166.0,170.0,1358164.0,145.873352,-0.012713046775028049
2013-06-14,2013-06-14,165.125,171.399994,165.125,168.774994,2419426.0,144.822205,-0.007231975556983627
2013-06-17,2013-06-17,168.800003,170.0,166.0,169.024994,1077782.0,145.036728,0.001480189255837594
2013-06-18,2013-06-18,169.050003,171.0,168.600006,170.600006,880974.0,146.388184,0.009274880989296186
2013-06-19,2013-06-19,171.0,172.350006,168.75,171.75,1884702.0,147.375,0.0067184709700960354
2013-06-20,2013-06-20,172.0,174.699997,170.699997,173.75,8009972.0,149.091125,0.01157733733202182
2013-06-21,2013-06-21,172.949997,175.5,172.449997,174.199997,7287844.0,149.47728,0.002586711847933465
2013-06-24,2013-06-24,174.0,174.949997,165.475006,173.274994,2601232.0,148.683548,-0.005324199562521059
2013-06-25,2013-06-25,173.0,173.0,168.0,171.875,2747956.0,147.482254,-0.008112351797554318
2013-06-26,2013-06-26,171.649994,174.699997,170.0,174.050003,2478812.0,149.348572,0.012575126506117584
2013-06-27,2013-06-27,174.0,175.850006,171.5,173.550003,3801216.0,153.324142,0.026271272356555464
2013-06-28,2013-06-28,175.949997,176.0,170.5,174.5,3810748.0,154.163406,0.0054588622503422
2013-07-01,2013-07-01,174.5,176.0,172.75,175.625,1668544.0,155.157288,0.00642624589694929
2013-07-02,2013-07-02,176.0,177.350006,174.574997,176.475006,3749310.0,155.908249,0.004828323099710374
2013-07-03,2013-07-03,176.0,176.949997,170.75,171.675003,1945904.0,151.667664,-0.02757598070169376
2013-07-04,2013-07-04,173.0,175.449997,172.5,174.824997,2134834.0,154.450516,0.0181820541606319
2013-07-05,2013-07-05,175.574997,175.949997,174.0,175.475006,3217056.0,155.02478,0.0037112148629594452
2013-07-08,2013-07-08,173.125,178.850006,173.125,177.75,3174032.0,157.034653,0.012881525629524049
2013-07-09,2013-07-09,177.600006,180.5,177.5,180.074997,2291406.0,159.088684,0.012995306997154898
2013-07-10,2013-07-10,180.0,182.675003,180.0,182.425003,3238376.0,161.164795,0.012965605185323524
2013-07-11,2013-07-11,183.425003,184.399994,181.300003,182.0,2494096.0,160.78933700000005,-0.002332370563928876
2013-07-12,2013-07-12,185.0,190.0,183.875,187.800003,4155226.0,165.913391,0.031370868881450235
2013-07-15,2013-07-15,187.449997,191.699997,187.449997,190.949997,2400390.0,168.696274,0.016633991525338843
2013-07-16,2013-07-16,187.800003,192.475006,185.5,187.699997,2282040.0,165.825058,-0.017166537585971753
2013-07-17,2013-07-17,188.0,195.175003,187.574997,193.550003,2650244.0,170.993286,0.030690927396069163
2013-07-18,2013-07-18,193.100006,197.0,191.300003,192.925003,2213632.0,170.441132,-0.003234322330872175
2013-07-19,2013-07-19,195.0,196.5,193.524994,195.699997,2554986.0,172.8927,0.01428120061788274
2013-07-22,2013-07-22,195.5,197.25,192.899994,196.475006,2007410.0,173.57740800000005,0.003952484647727239
2013-07-23,2013-07-23,196.375,198.75,190.925003,192.100006,2819668.0,169.71228,-0.022519122893061905
2013-07-24,2013-07-24,191.0,197.225006,190.0,196.175003,3159042.0,173.312347,0.020990907961570212
2013-07-25,2013-07-25,196.0,196.975006,184.649994,188.125,5223654.0,166.200516,-0.04190045346752491
2013-07-26,2013-07-26,190.050003,193.824997,184.0,190.975006,5069052.0,168.718399,0.015036059921471612
